,0,1,2
150,didesak,didesas-desuskan,didhalimi
151,didholimi,didikte,didiskreditkan
152,didiskriminasi,didiskriminasikan,didiskualifikasi
153,didiskualifikasikan,diduai,diduakan
154,diduga,diduga-duga,didustai
155,didustakan,didzalimi,dieksekusi
156,dieksploitasi,diekspos,dieliminasi
157,diempaskan,dienyahkan,difitnah
158,diforsir,digampangkan,digampar
159,diganggu,diganggu-gugat,diganjal
160,diganjar,digasak,digauli
161,digebuk,digebuki,digedor
162,digedor-gedor,digegerkan,digelandang
163,digelapkan,digembar-gemborkan,digemparkan
164,digempur,digencet,digentayangi
165,digerayangi,digerebek,digerecoki
166,digerepe,digerogoti,digertak
167,digondol,digorok,digosipkan
168,digrecoki,digugat,digugurkan
169,digulingkan,diguna-guna,diguna-gunai
170,diguncang,digunjingkan,digusur
171,dihabisi,dihadang,dihajar
172,dihalang,dihalang-halangi,dihalangi
173,dihambat,dihambur-hamburkan,dihamburkan
174,dihancurkan,dihancurleburkan,dihanguskan
175,dihantam,dihantui,diharamkan
176,dihardik,dihasut,dihempas
177,dihempaskan,dihina,dihujat
178,dihukum,diisolasi,dijajah
179,dijambak,dijambret,dijangkiti
180,dijarah,dijebak,dijebloskan
181,dijegal,dijerat,dijiplak
182,dikacaubalaukan,dikacaukan,dikafirkan
183,dikalahkan,dikambinghitamkan,dikasari
184,dikata-katai,dikatai,dikebiri
185,dikecam,dikecewakan,dikejar-kejar
186,dikekang,dikelabui,dikeluhkan
187,dikemplang,dikenai biaya,dikenakan biaya
188,dikentutin,dikerangkeng,dikerdilkan
189,dikeroyok,dikeruhkan,dikesalkan
190,dikesampingkan,dikhawatirkan,dikhianati
191,dikibuli,dikompori,dikontaminasi
192,dikorbankan,dikorup,dikorupsi
193,dikotori,dikritik,diktator
194,dikucilkan,dikufurkan,dikungkung
195,dikuntit,dikurangi,dikurung
196,dikutuk,dilabrak,dilacurkan
197,dilaknat,dilalaikan,dilambat-lambatkan
198,dilampiaskan,dilanda,dilanggar
199,dilarang,dilawan,dilebih-lebihkan
200,dilecehkan,diledakkan,diledek
201,diledeki,dilema,dilemahkan
202,dilematik,dilematis,dilenyapkan
203,dilindas,dilucuti,diludahi
204,dilukai,dilumpuhkan,dilupakan
205,dimabuk,dimaki,dimandulkan
206,dimanipulasi,dimanipulasikan,dimarahi
207,dimonopoli,dimuntahkan,dimusuhi
208,dimutilasi,dinamit,dinistakan
209,dinodai,diobrak-abrik,diombang-ambing
210,diomeli,dipaksa,dipaksakan
211,dipalak,dipalaki,dipalsukan
212,dipanas-panasi,dipancung,dipasung
213,dipecat,diperbudak,diperburuk
214,diperdaya,diperdebatkan,diperepot
215,diperkosa,diperlama,diperlambat
216,diperlemah,dipermasalahkan,diperparah
217,dipersadis,dipersakit,dipersalah
218,dipersalahkan,dipersoalkan,dipersukar
219,dipersulit,dipersuram,dipersusah
220,dipertakut,dipertaruhkan,dipertarungkan
221,dipertegang,dipertengkarkan,diperumit
222,diperusuh,dipidana,dipidanakan
223,dipinggirkan,dipojokkan,dipreteli
224,dipropaganda,diprotes,diprovokasi
225,dipukul,dipukuli,dipulangkan
226,dipungut,dipungut iuran,dipungut uang
227,dipusingkan,diracun,diracuni
228,diragukan,dirajam,dirampas
229,dirampok,diratapi,dirazia
230,direkayasa,diremehkan,direndahkan
231,direnggut,direpotkan,diresahkan
232,diributkan,diringkus,dirobek
233,dirobek-robek,dirobohkan,dirongrong
234,dirugikan,dirumahkan,dirumitkan
235,dirundung,dirunyamkan,dirusak
236,dirusakkan,diruwetkan,disabotase
237,disadap,disakiti,disalahartikan
238,disalahgunakan,disalahkan,disamarkan
239,disambar,disambit,disandera
240,disanggah,disangka,disangkal
241,disangkutpautkan,disangsikan,disantet
242,disatroni,disayangkan,disayat
243,disayat-sayat,disfungsi,disharmoni
244,disia-siakan,disidang,disiden
245,disidik,disiksa,disikut
246,disilet,disindir,disinggung
247,disingkirkan,disintegrasi,disinyalir
248,disisihkan,disita,diskors
249,diskotek,diskotik,diskredit
250,diskriminasi,diskriminatif,diskualifikasi
251,disobek,disobek-sobek,disodomi
252,disogok,disomasi,disombongkan
253,disorder,distorsi,distreskan
254,disuap,disudutkan,disulut
255,disumpahi,disumpel,disundut
256,disusahi,disusahkan,disusupi
257,disusupkan,disusutkan,ditabok
258,ditabrak,ditagih,ditahan
259,ditakut-takuti,ditakuti,ditalak
260,ditampar,ditangisi,ditangkap
261,ditawan,ditekan,ditelan mentah-mentah
262,ditelanjangi,ditelantarkan,ditembaki
263,ditempeleng,ditentang,diteriaki
264,diterjang,diteror,ditertawai
265,ditertawakan,ditewaskan,ditiduri
266,ditikam,ditilang,ditilap
267,ditilep,ditimpa,ditimpakan
268,ditimpuk,ditimpuki,ditindas
269,ditinggalkan,ditinjau lagi,ditinju
270,ditipu,ditiru-tiru,ditodong
271,ditolak,ditomboki,ditonjok
272,ditoyor,dituding,dituduh
273,dituduhkan,ditulari,ditularkan
274,ditumbalkan,ditumpulkan,ditunda
275,ditunda-tunda,ditunggangi,dituntut
276,diturunkan,ditusuk,ditusuk-tusuk
277,ditutup-tutupi,ditutupi,diurungkan
278,diusik,diusir,dizalimi
279,dizinahi,dizinai,dobrak
280,dompleng,don juang,dongkol
281,dosa,dugaan,duka
282,duka cita,dukun,dumping
283,dungu,dunia hitam,durhaka
284,durhana,dusta,dzalim
285,ecek-ecek,edan,edan-edanan
286,egois,egoisme,egoistis
287,ekshibisionis,ekshibisionisme,eksploitasi
288,eksplosif,ekspos,ekstasi
289,ekstrem,ekstrim,elak
290,eliminasi,emang,embat
291,embel-embel,emghantam,emoh
292,emosi,emosional,empet
293,enak saja,endemi,eneg
294,enek,engap,enggan
295,entah,enyah,enyahkan
296,epidemi,epilepsi,erangan
297,eror,erosi,erotik
298,erotis,erpusi,error
299,fakir,fals,fanatik
300,fanatisme,fasad,fasakh
301,fasik,fasis,fasisme
302,fatal,feodal,feodalisme
303,fiktif,fitnah,fitnahan
304,formalin,formalitas,forsir
305,foya-foya,friksi,frontal
306,frustasi,gaduh,gadungan
307,gagal,galak,galau
308,gamang,gampangan,gampar
309,ganas,ganggu,ganggu gugat
310,gangguan,gangster,ganja
311,ganjalan,ganjen,ganjil
312,gap,gaptek,gara-gara
313,garong,gasab,gasak
314,gawat,geblek,gebuk
315,gedebak-gedebuk,gedor,gegabah
316,geger,gejala,gelagap
317,gelagapan,gelagat,gelandangan
318,gelap,geledah,gelepar
319,geletak,gelisah,gelonggong
320,gelonggongan,gembar-gembor,gembel
321,gemblung,gembong,gembos
322,gembrot,gembul,gemetar
323,gempa,gempar,gempor
324,gempur,gempuran,gendeng
325,genderuwo,geng,genosida
326,gentayangan,genting,gep
327,gerabak-gerubuk,gerah,geram
328,geraman,gerayan,gerebek
329,gerecok,germo,gerogot
330,gerombol,gerombolan,gersang
331,gertak,gertakan,gerutu
332,getir,gibah,gigolo
333,gila,goblok,gombal
334,gombalan,gondok,gondol
335,gonjang-ganjing,gonore,gonta-ganti
336,gontok-gontokan,gores,gorok
337,gosip,gosong,goyah
338,gracok,grogi,gugat
339,gugatan,gugup,gulana
340,gulma,guna-guna,gundah
341,gundah gulana,gundik,gunjing
342,gunjingan,gusar,hajar
343,halangan,halusinasi,hama
344,hambat,hambatan,hambur
345,hancur,hancur lebur,hancur-hancuran
346,hangus,hantam,hantaman
347,hantu,hanya,hanyut
348,haram,hardik,hardikan
349,harusnya,hasad,hasud
350,hasut,hasutan,hedonis
351,hedonisme,hengkang,heran
352,heroin,herpes,hilang
353,himpitan,hina,hinaan
354,hingar-bingar,hiperaktif,hiperbol
355,hiperbola,hiperbolis,hiperseksual
356,hipersensitif,hipokrit,homoseks
357,homoseksual,horor,hostes
358,hujan lebat,hujat,hujatan
359,hukuman,hura-hura,hutang
360,iblis,idiot,ilegal
361,imbak,imbal,imbas
362,imitasi,imitatif,imitator
363,impase,imperfek,imperialis
364,imperialisme,impitan,impor
365,impoten,impotensi,impulsif
366,inadaptabilitas,inca,indisipliner
367,individualisme,individualistis,indoktrinasi
368,indolen,inefisiensi,infeksi
369,inferior,inferioritas,infertil
370,infertilitas,inflasi,infleksibilitas
371,ingkar,inkarsunah,inkompatibel
372,inkonsisten,inkonsistensi,inlander
373,inses,insiden,insinuasi
374,instabilitas,internir,interupsi
375,intimidasi,intimidatif,intoleran
376,intrik,invalid,irasional
377,irasionalitas,iri,iri hati
378,ironi,ironis,isak
379,isolasi,istan,isu
380,jadi bumerang,jahanam,jahat
381,jahil,jahiliah,jahiliyah
382,jail,jajah,jajahan
383,jalang,jamah,jambak
384,jambret,jambretan,jampi-jampi
385,jangan asal,jangan diganggu,jangan sampai
386,jangan sekarang,jangan tanya,jangan-jangan
387,jangankan,janggal,jarah
388,jarahan,jeblok,jebol
389,jegal,jelangkung,jelantah
390,jelek,jemawa,jengkel
391,jenuh,jerit,jeritan
392,jiplak,jiplakan,joki
393,jongos,jontor,jorok
394,jotos,judes,judi
395,justru,kabur,kacau
396,kacau balau,kacau-balau,kacung
397,kadaluarsa,kadaluwarsa,kafir
398,kagok,kaku,kalah
399,kalang kabut,kalap,kalau tidak
400,kalibut,kalicau,kalut
401,kambing hitam,kambuh,kambuhan
402,kandas,kanibal,kanibalisme
403,kapitalis,karam,karsinogen
404,karsinogenik,kartu kuning,kartu merah
405,karusi,karut,karut-marut
406,kasak-kusuk,kasar,kasus
407,katastrofe,kebakaran,kebandelan
408,kebangetan,kebangkrutan,kebanjiran
409,keberatan,kebiadaban,kebinasaan
410,kebiri,keblinger,kebobolan
411,kebobrokan,kebocoran,kebodohan
412,kebohongan,keborosan,kebuntuan
413,keburu,keburukan,kebusukan
414,kebut-kebutan,kebuyaran,kecam
415,kecaman,kecamuk,kecanggungan
416,kecapean,kecapekan,kecelakaan
417,kecemasan,kecemburuan,kecengengan
418,keceplosan,kecerewetan,kecerobohan
419,kecewa,kecil hati,kecoh
420,kecolongan,kecongkakan,kecopetan
421,keculasan,kecurangan,kecurian
422,kecurigaan,kedaifan,kedaluarsa
423,keder,kedhaifan,kedhaliman
424,kedholiman,kediktatoran,kedok
425,kedunguan,kedurhakaan,kedurjanaan
426,kedzaliman,keedanan,keegoisan
427,keekstreman,keekstriman,keemohan
428,keengganan,kefakiran,kefanaan
429,kefanatikan,kefasikan,kefatalan
430,kefrsutasian,kegaduhan,kegagalan
431,kegalauan,keganasan,keganjilan
432,kegawatan,kegelisahan,kegentingan
433,kegeraman,kegersangan,kegilaan
434,kegoblokan,kegugupan,keguguran
435,kegulanaan,kegundahan,kegusaran
436,kehabisan,kehampaan,kehancuran
437,kehilangan,kehinaan,keingkaran
438,kejahatan,kejalangan,kejam
439,kejelekan,kejengkelan,keji
440,kejorokan,kekafiran,kekalahan
441,kekalapan,kekalutan,kekanak-kanakan
442,kekang,kekangan,kekecewaan
443,kekejaman,kekejian,kekeliruan
444,kekerasan,kekeringan,kekeruhan
445,kekesalan,kekhawatiran,kekhilafan
446,kekikiran,kekisruhan,kekotoran
447,kekufuran,kelabakan,kelabu
448,kelahi,kelainan,kelaknatan
449,kelalaian,kelambanan,kelambatan
450,kelancangan,kelaparan,kelayapan
451,kelelahan,kelemahan,kelengahan
452,kelepasan,kelesuan,keletihan
453,kelewat batas,kelewatan,keliaran
454,kelicikan,kelimbungan,kelimpungan
455,kelinglungan,keliru,keloyoan
456,kelu,keluh,keluhan
457,kelumpuhan,kelupaan,keluyuran
458,kemaksiatan,kemalingan,kemarahan
459,kematian,kemelaratan,kemelut
460,kemerosotan,kemesuman,kemiskinan
461,kemplang,kemplangan,kemunafikan
462,kemunduran,kemungkaran,kemuraman
463,kemurkaan,kemurtadan,kemurungan
464,kemustahilan,kemusyrikan,kenajisan
465,kenakalan,kendala,kenekatan
466,kenestapaan,kengerian,kenistaan
467,kentut,keonaran,kepailitan
468,kepalsuan,kepanasan,kepandiran
469,kepanikan,keparat,kepayahan
470,kepedihan,kepelitan,kepicikan
471,kepincangan,kepongahan,kepura-puraan
472,keracunan,keraguan,kerakusan
473,kerampokan,kerancuan,kerapuhan
474,kerawanan,kerdurjanaan,kerentanan
475,kerepotan,keresahan,keretakan
476,kerewelan,keributan,kericuhan
477,kerisauan,kerontang,keropos
478,keroyok,keroyokan,kerugian
479,kerumitan,keruntuhan,kerunyaman
480,kerusakan,kerusuhan,keruwetan
481,kesablengan,kesadisan,kesadisannya
482,kesakitan,kesal,kesalahan
483,kesambet,kesandung,kesangsian
484,kesasar,kesewenang-wenangan,kesia-siaan
485,kesialan,kesiangan,kesimpangsiuran
486,kesinisan,kesintingan,kesirikan
487,kesleboran,kesombongan,kesorean
488,kestagnanan,kesukaran,kesulitan
489,kesuraman,kesurupan,kesusahan
490,kesyirikan,ketakaburan,ketakutan
491,ketamakan,ketar-ketir,ketegangan
492,keterbatasan,ketergantungan,ketergesa-gesaan
493,keterlaluan,keterlambatan,keterpaksaan
494,ketersiksaan,ketertindasan,ketertinggalan
495,keteter,keteteran,ketidakefisienan
496,ketidakpastian,ketidakpercayaan,ketiduran
497,ketimbang,ketimpangan,ketinggalan
498,ketipu,ketololan,ketuaan
499,ketularan,ketumpangtindihan,ketus
500,kewalahan,kezaliman,khalwat
501,khawatir,khawatirkan,khianat
502,khilaf,kiamat,kibul
503,kikir,kilah,kisruh
504,klepto,kleptomania,klise
505,koar,kocar-kacir,kok
506,kolaps,koloni,kolonial
507,kolonialisme,kolonis,kolot
508,kolusi,komat-kamit,komplain
509,kompleks,komplikasi,komplotan
510,komunis,konflik,konfrontasi
511,kongkalikong,konspirasi,konspiratif
512,konsumtif,kontaminasi,kontra
513,kontradiksi,kontradiktif,kontraproduktif
514,kontroversi,kontroversial,korban
515,korupsi,koruptor,kotor
516,kout,kriminal,kriminalis
517,kriminalisasi,kriminalitas,krisis
518,kritik,kritis,kroni
519,kronis,krusial,kualat
520,kuatir,kudeta,kufur
521,kufur nikmat,kumal,kuman
522,kumel,kumuh,kungkung
523,kusta,kusut,kutu
524,kutuk,kutukan,labil
525,labrak,lacur,laknat
526,lalai,lalim,lama
527,lamban,lambat,lancang
528,langgar-melanggar,lara,layu
529,ledek,leha-leha,lelah
530,lelet,lemah,lemas
531,lemes,lengah,lengser
532,lenyap,lesbi,lesbian
533,lesu,letih,letoi
534,liar,licik,limbah
535,limbung,ling-lung,lintah darat
536,lirih,longsor,lontang-lantung
537,lonte,loyo,luka
538,luluh lantak,lumpuh,lunta
539,luntang-lantung,lupa,lusuh
540,mabuk,mabuk-mabukan,macet
541,madat,madharat,mafia
542,mahal,main-main,makar
543,maki,makian,makruh
544,maksiat,mala,malapetaka
545,malaprakt2k,malapraktik,malas
546,maling,malnutrisi,malpraktek
547,malpraktik,mamandekkan,mamasygulkan
548,mampus,mana ada,mandek
549,mandul,manghantam,mangkel
550,mangkir,mangu,maniak
551,manipulasi,manipulatif,manipulator
552,marah,marah-marah,masa bodoh
553,masai,masalah,masam
554,masgul,masokhis,masokis
555,masygul,materialis,materialisme
556,materialistis,matre,mayat
557,melabrak,melacur,melacurkan
558,melaknat,melalaikan,melambat
559,melambat-lambatkan,melambatkan,melanda
560,melanggar,melantur,melarang
561,melarat,melarikan,melas
562,melebih-lebihkan,melecehkan,meledak
563,meledakkan,meledek,meledeki
564,melelahkan,melemah,melemahkan
565,melengahkan,melengos,melenyapkan
566,melepuh,melewati batas,melindas
567,melintir,melompong,melongo
568,melucuti,meludah,meludahi
569,melukai,meluluhlantakkan,melumpuhkan
570,melupakan,memaki,memaksa
571,memaksa-maksa,memaksakan,memalak
572,memalaki,memalingkan,memalsukan
573,memalukan,memanas-manasi,memandulkan
574,memanipulasi,memantati,memarahi
575,memasung,membacok,membahayakan
576,membalas dendam,membandel,membanding-bandingkan
577,membangkang,membangkrutkan,membanjiri
578,membantah,membatalkan,membatasi
579,membebankan,membeberkan,membekas
580,membelenggu,membelit,membentur
581,memberatkan,memberhentikan,memberondong
582,membiaskan,memblokir,membocorkan
583,membodohi,membohongi,membolos
584,membom,membombardir,membosankan
585,membual,membuang,membuang-buang waktu
586,membuat-buat,membungkam,membunuh
587,memburuk,membusuk,membutakan
588,membuyarkan,memecah belah,memecah-belah
589,memecahbelahkan,memecat,memekakkan
590,memelas,memeloroti,memfitnah
591,memforsir,memidanakan,memilukan
592,meminta-minta,memiskinkan,memojokkan
593,memonopoli,memorak-porandakan,memoroti
594,memperbodoh,memperbudak,memperburuk
595,memperbuyar,memperdaya,mempergunjingkan
596,memperkosa,memperlama,memperlamban
597,memperlambat,memperlemah,mempermasalahkan
598,memperolok-olok,memperolok-olokkan,memperparah
599,mempersadis,mempersakit,mempersalahkan
600,mempersoalkan,mempersukar,mempersulit
601,"mempersura,",mempersuram,mempersusah
602,mempertakut,mempertaruhkan,mempertengkarkan
603,memperumit,memperusuh,mempreteli
604,memprihatinkan,mempropaganda,mempropagandakan
605,memprotes,memprovokasi,memukul
606,memukuli,memulangkan,memundurkan
607,memunggungkan,memungkari,memungkiri
608,memuntahkan,memupuskan,memuram
609,memurkai,memurtadkan,memusingkan
610,memusnahkan,memusuhi,memutarbalikkan
611,menabrak,menafikan,menagih
612,menakut-nakuti,menakuti,menalak
613,menampar,menangis,menangisi
614,menarikturunkan,mencabik-cabik,mencabuli
615,mencaci,mencaci maki,mencak
616,mencak-mencak,mencalimi,mencampakkan
617,mencampur aduk,mencampuradukkan,mencancu
618,mencaplok,mencari kesalahan,mencari muka
619,mencari-cari kesalahan,mencatut,mencecar
620,mencederai,mencekam,mencekcoki
621,mencekik,mencela,mencelakai
622,mencelakakan,mencemari,mencemaskan
623,mencemburui,mencerca,mencibir
624,mencolong,mencontek,mencopet
625,mencopot,mencoreng,mencret
626,mencuci otak,mencuci uang,menculik
627,mencurangi,mencuri,mencurigai
628,mencurigakan,mendadak,mendaifkan
629,mendalangi,mendamprat,mendekam
630,mendendam,mendengki,mendepak
631,mendeportasi,menderita,mendesak
632,mendhalimi,mendholimi,mendiskreditkan
633,mendiskriminasi,mendiskriminasikan,mendiskualifikasi
634,mendiskualifikasikan,mendobrak,mendompleng
635,mendongkol,mendongkolkan,mendua
636,menduakan,menduga-duga,mendukuni
637,mendurhakai,mendustai,mendustakan
638,mendzalimi,menegatifkan,menelanjangi
639,menelantarkan,menembak,menembaki
640,menempeleng,menentang,meneror
641,menertawai,menertawakan,menewaskan
642,mengabaikan,mengaburkan,mengacak-acak
643,mengacau,mengacaubalaukan,mengacaukan
644,mengadili,mengadu domba,mengafirkan
645,mengais,mengakhiri,mengambinghitamkan
646,mengancam,menganggur,mengarut
647,mengasari,mengata-ngatai,mengatai
648,mengebiri,mengecam,mengecewakan
649,mengecilkan hati,mengecoh,mengekakng
650,mengekang,mengeksploitasi,mengekspos
651,mengelabui,mengelak,mengelakkan
652,mengeluh,mengeluhkan,mengemis
653,mengemplang,mengenaskan,mengentengkan
654,mengerang,mengerangkeng,mengerdilkan
655,mengerecoki,mengerikan,mengeritik
656,mengernyit,mengernyitkan,mengeroyok
657,mengeruhkan,mengesalkan,mengesampingkan
658,mengeyel,menggampangkan,mengganas
659,menggandakan uang,mengganggu,mengganggu gugat
660,mengganjal,menggasab,menggasak
661,menggauli,menggawat,menggebuki
662,menggedor,menggegerkan,menggelandang
663,menggelapkan,menggelepar,menggelisahkan
664,menggembar-gemborkan,menggentayangi,menggerayangi
665,menggerebek,menggerepe,menggerogoti
666,menggertak,menggerutu,menggila
667,menggondol,menggorok,menggosipkanmenggrecoki
668,menggugat,menggulingkan,mengguna-guna
669,mengguna-gunai,menggunduli,menggunjing
670,menggunjingkan,menggusur,menghabisi
671,menghajar,menghakimi,menghalang-halangi
672,menghalangi,menghambat,menghambur-hamburkan
673,menghamburkan,menghancurkan,menghancurleburkan
674,menghanguskan,menghantui,menghardik
675,menghasut,mengherankan,menghilang
676,menghilangkan,menghina,menghujat
677,mengibuli,mengidap,mengimitasi
678,menginfeksi,mengingkari,menginjak
679,menginjak-injak,mengintil,mengintimidasi
680,mengisolasi,mengisolasikan,mengkhawatirkan
681,mengkhianati,mengkritik,mengkudeta
682,mengobrak-abrik,mengoceh,mengolok-olok
683,mengombang ambing,mengombangambingkan,mengomel
684,mengomeli,mengompori,mengontaminasi
685,mengoplos,mengorbankan,mengorup
686,mengorupsi,mengotori,mengoyak
687,mengoyak-oyak,mengoyak-oyakkan,mengucilkan
688,mengudeka,mengudeta,mengufurkan
689,mengulur,mengulur-ulur,mengumbar
690,mengumpat,mengungkung,menguntit
691,mengurungkan,mengusik,mengusir
692,mengutuk,mengutuki,meniduri
693,menihilkan,menikam,menilap
694,menilep,menimpa,menindas
695,meninggal,menipu,meniru
696,meniru-niru,menistakan,menjahati
697,menjaili,menjajah,menjalang
698,menjamah,menjambak,menjambret
699,menjangkit,menjangkiti,menjarah
700,menjebak,menjegal,menjelek-jelekkan
701,menjelekkan,menjemukan,menjengkelkan
702,menjenuhkan,menjerat,menjerit
703,menjiplak,menjungkirbalikkan,menodai
704,menodong,menodongkan,menohok
705,menolak,menonjok,menoyor
706,menskors,mensomasi,mensomasikan
707,mentok,menubruk,menuding
708,menuduh,menuduhkan,menular
709,menulari,menularkan,menumbalkan
710,menumpulkan,menunda,menunda-nunda
711,menunggak,menuntut,menurun
712,menusuk,menusuk-nusuk,menusukkan
713,menutup-nutupi,menutupi,menyabotase
714,menyabung,menyadap,menyakiti
715,menyakitkan,menyalahartikan,menyalahgunakan
716,menyalahi,menyalahkan,menyamarkan
717,menyampah,menyandera,menyanggah
718,menyangka,menyangkal,menyangkut
719,menyangkutpautkan,menyangsikan,menyantet
720,menyatroni,menyayangkan,menyayat
721,menyayat-nyayat,menyelahgunakan,menyesalkan
722,menyia-nyiakan,menyiksa,menyikut
723,menyilet,menyimpang,menyindir
724,menyinggung,menyobek,menyobek-nyobek
725,menyodomi,menyogok,menyomasi
726,menyombong,menyombongkan,menyontek
727,menyuap,menyudutkan,menyulitkan
728,menyulut,menyumpahi,menyumpel
729,menyundut,menyuruh-nyuruh,menyusahi
730,menyusahkan,menyusupkan,menzinahi
731,menzinai,meracau,meracuni
732,meradang,meragu,meragukan
733,merajalela,merajam,merajuk
