,0,1,2
319,pemeriksaan,pemersatu,pemersatuan
320,pencari ilmu,pencarian,pencerahan
321,pendidik,pendonasian,pendonor
322,penegakan,penemu,penengah
323,penerang,pengampunan,pengantisipasian
324,penganugerahan,pengembangan,pengertian
325,penggalakan,penggiatan,penggugah
326,penghargaan,penghijauan,pengoptimalan
327,peningkatan,penjelasan,penjernihan
328,penolong,penstabilan,penting
329,penuntun,penurut,penyabar
330,penyantun,penyantunan,penyatuan
331,penyayang,penyuksesan,peran kunci
332,perbaikan,percaya,perdamaian
333,perhatian,perkembangan,persahabatan
334,persaudaraan,pertaubatan,pertobatan
335,pertolongan,pertumbuhan,perundingan
336,petunjuk,pintar,populer
337,positif,potensi,potensial
338,praktis,preseden,presisi
339,prestasi,prestise,prestisius
340,prima,primadona,prioritas
341,proaktif,produktif,profesional
342,profit,proporsional,prospektif
343,proteksi,puas,pulih
344,rahman,rahmat,rajin
345,ramah,ramah tamah,rampung
346,rapi,rapih,rasional
347,rasul,realistis,reformasi
348,rekonsiliasi,relawan,relevan
349,relevansi,relevansinya,reliabel
350,renungan,resmi,responsif
351,revolusioner,rezeki,riang
352,rida,ridha,ridho
353,rido,rileks,riset
354,rohmat,rukun,rupawan
355,sabar,sadar,sakinah
356,saksama,saleh,salehah
357,saling tegur,salut,sanggup
358,santun,satu padu,sayang
359,sebaik-baiknya,sebesar mungkin,secepatnya
360,seefektif,seimbang,sejalan
361,selamat,selaras,selesai
362,selesaikan,semangat,semoga
363,senang,serius,sesuai
364,setuju,shaleh,shalehah
365,shalihah,sholeh,siap
366,silahkan,silaturahmi,simpati
367,sistematik,sistematis,siuman
368,sobat,sohib,solid
369,solidaritas,solider,solusi
370,sopan,sopan santun,sorga
371,spektakuler,spesial,sportif
372,sportivitas,stabil,steril
373,strategis,subsidi,suci
374,sudah berupaya,sudah berusaha,sudah dilakukan
375,sukaria,sukses,syukuran
376,taat,tahu,tak ada banding
377,tak ada bandingan,tak ada tandingan,talenta
378,tampan,tangguh,taubat
379,tauladan,tawaduk,tawakal
380,tegar,tegas,teguh
381,tekad,tekun,teladan
382,telah berjalan,tenteram,tentram
383,tepa salira,tepat guna,tepat sasaran
384,tepati,terahmati,terawat
385,terbaik,terbantu,terbarukan
386,terbiasa,terbrilian,tercakap
387,tercakep,tercanggih,tercangging
388,tercantik,tercerdas,terdongkrak
389,teredukasi,terfavorit,terfenomenal
390,tergapai,terharu,terhebat
391,terhibur,terhormat,terima kasih
392,terindah,terinformasi,terinspirasi
393,teristimewa,terjangkau,terkagum-kagum
394,terkasih,terkenal,terkendali
395,terkirim,terlezat,terlincah
396,termasyhur,termotivasi,ternama
397,terohmati,terpana,terpandai
398,terpandang,terpilih,terpintar
399,terpuji,terpukau,tersabar
400,tersadar,tersadarkan,tersantun
401,tersantuni,tersayang,tersipu
402,tersipu-sipu,tersohor,tersopan
403,terspektakuler,terstruktur,tersuci
404,tersucikan,tersukses,tertaat
405,tertampan,tertib,tertolong
406,teruji,terungkap,terurus
407,terus terang,tetap di sini,tiada banding
408,tiada bandingan,tiada tandingan,tidak ada banding
409,tidak ada bandingan,tidak ada tandingan,toleran
410,toleransi,tolong-menolong,trofi
411,tropi,tulus,tuntas
412,tuntun,tuntunan,ukhuwah
413,ulet,unggul,unggulan
414,unik,usulan bersama,usulan masyarakat
415,valid,visibel,wah
416,wajar,wajar-wajar,wibawa
417,yahud,yakin,accord
418,asyik,asyiknya,bantuan
419,bimbingan,aduhai,boleh juga
420,luar biasa,sabar,keren
421,cakep,senang,maaf
422,minta maaf,sehat,suka
423,cinta,dimaafkan,dikejar
424,tidak apa-apa,cepat sembuh,jago
425,imut,jujur,adil
426,lucu,terima kasih,sehat
427,manis,mantap,lebih baik
428,mengaku,profesional,nyaman
429,rezeki,setuju,sumbangan
430,amal,menggemaskan,boleh juga
